"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"Citi Mobile®",66983,204,510000.0,108000.0,10000,10000,382000.0
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",64917,204,510000.0,108000.0,10000,10000,382000.0
"USA TODAY",56191,204,510000.0,108000.0,10000,10000,382000.0
"Timehop",135321,204,510000.0,108000.0,10000,10000,382000.0
"YouNow: Live Stream Video Chat",298699,204,510000.0,108000.0,10000,10000,382000.0
"Geocaching®",54156,204,510000.0,108000.0,10000,10000,382000.0
"Edmodo",193360,204,510000.0,108000.0,10000,10000,382000.0
"DIRECTV",195946,204,510000.0,108000.0,10000,10000,382000.0
"Toca Builders",4401,228,570000.0,120000.0,29900.00,39900.00,380200.00
"F-Sim Space Shuttle",5955,240,600000.0,120000.0,49900.00,49900.00,380200.00
"Sago Mini Babies",213,228,570000.0,120000.0,29900.00,39900.00,380200.00
"Battleheart Legacy",6155,240,600000.0,120000.0,49900.00,49900.00,380200.00
"Storm Shield",2287,216,540000.0,120000.0,29900.00,10000,380100.00
"Dr. Panda Farm",242,216,540000.0,108000.0,29900.00,29900.00,372200.00
"Dr. Panda Supermarket",1152,216,540000.0,108000.0,29900.00,29900.00,372200.00
"Farming Simulator 16",30567,228,570000.0,120000.0,49900.00,29900.00,370200.00
"Whataburger",4910,204,510000.0,120000.0,10000,10000,370000.0
"Wells Fargo Mobile",220267,204,510000.0,120000.0,10000,10000,370000.0
"The EO Bar",353,252,630000.0,132000.0,69900.00,69900.00,358200.00
"Southwest Airlines",27967,192,480000.0,108000.0,10000,10000,352000.0
"Redbox",96200,192,480000.0,108000.0,10000,10000,352000.0
"Sky News",30169,192,480000.0,108000.0,10000,10000,352000.0
"Thomas & Friends: Race On!",29230,192,480000.0,108000.0,10000,10000,352000.0
"Epson iPrint",105476,192,480000.0,108000.0,10000,10000,352000.0
"Mad Libs",110811,192,480000.0,108000.0,10000,10000,352000.0
"Messenger",305502,192,480000.0,108000.0,10000,10000,352000.0
"Please, Don't Touch Anything",1525,228,570000.0,120000.0,49900.00,49900.00,350200.00
"Don't Starve: Pocket Edition",15534,228,570000.0,120000.0,49900.00,49900.00,350200.00
"LEGO® Friends",709,228,570000.0,120000.0,49900.00,49900.00,350200.00
"Paprika Recipe Manager",1550,228,570000.0,120000.0,49900.00,49900.00,350200.00
"NBA JAM by EA SPORTS™",46798,228,570000.0,120000.0,49900.00,49900.00,350200.00
"myAT&T",96697,180,450000.0,96000.0,10000,10000,334000.0
"Fly Delta",23140,180,450000.0,96000.0,10000,10000,334000.0
"H&M",41252,180,450000.0,96000.0,10000,10000,334000.0
"Assassin's Creed Identity",39549,204,510000.0,108000.0,49900.00,19900.00,332200.00
"LEGO Batman: DC Super Heroes",6432,216,540000.0,108000.0,49900.00,49900.00,332200.00
"RollerCoaster Tycoon® Classic",9512,228,570000.0,120000.0,59900.00,59900.00,330200.00
"Puffin Browser Pro",15116,204,510000.0,108000.0,39900.00,39900.00,322200.00
"NFL",435543,180,450000.0,108000.0,10000,10000,322000.0
"SHOWTIME",11400,180,450000.0,108000.0,10000,10000,322000.0
"T-Mobile Tuesdays",50297,180,450000.0,108000.0,10000,10000,322000.0
"Battlefield™ Companion",263221,180,450000.0,108000.0,10000,10000,322000.0
"BET NOW - Watch Shows",13958,180,450000.0,108000.0,10000,10000,322000.0
"MTV",31029,180,450000.0,108000.0,10000,10000,322000.0
"My Movies Pro - Movie & TV Collection Library",5608,240,600000.0,120000.0,79900.00,79900.00,320200.00
"Grand Theft Auto: San Andreas",321977,228,570000.0,120000.0,69900.00,69900.00,310200.00
"U by BB&T",15881,180,450000.0,120000.0,10000,10000,310000.0
"United Airlines",26524,168,420000.0,96000.0,10000,10000,304000.0
"I am Bread",1156,204,510000.0,108000.0,49900.00,49900.00,302200.00
"Don't Starve: Shipwrecked",1222,204,510000.0,108000.0,49900.00,49900.00,302200.00
"NCAA Sports",3800,168,420000.0,108000.0,10000,10000,292000.0
"NBC Sports",66699,156,390000.0,84000.0,10000,10000,286000.0
"AirWatch Agent",19942,156,390000.0,84000.0,10000,10000,286000.0
"My College Bookstore",550,156,390000.0,84000.0,10000,10000,286000.0
"McDonald's",141492,156,390000.0,96000.0,10000,10000,274000.0
"myChevrolet",5963,156,390000.0,96000.0,10000,10000,274000.0
"Peppa Pig: Party Time",45,168,420000.0,108000.0,10000,29900.00,272100.00
"AMC",18543,144,360000.0,84000.0,10000,10000,256000.0
"FINAL FANTASY V",14484,240,600000.0,120000.0,149900.00,79900.00,250200.00
"Baldur's Gate: Enhanced Edition",18843,228,570000.0,120000.0,99900.00,99900.00,250200.00
"SNCF",15743,144,360000.0,96000.0,10000,10000,244000.0
"XCOM®: Enemy Within",11878,216,540000.0,108000.0,99900.00,99900.00,232200.00
"Philips Hue",8672,132,330000.0,84000.0,10000,10000,226000.0
"AnatomyMapp",67,204,510000.0,108000.0,99900.00,149900.00,152200.00
"Muscle Premium - Human Anatomy, Kinesiology, Bones",336,228,570000.0,120000.0,199900.00,249900.00,200.00
