"app_name","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","android_lifespan","apple_lifespan","revenue","initial_cost","recurring_cost","profit"
"My Talking Tom","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing","4.5","4.4","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Tsunami","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Doodle Jump","4.5","4.3","0.99","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Subway Surfers","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run 2","4.5","4.3","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Catchers","4.5","4.7","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Swamp Attack","4.5","4.4","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hungry Shark World","4.5","4.5","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Dude Perfect 2","4.5","4.5","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Shadow Fight 2","4.5","4.6","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"War Robots","4.5","4.6","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Solitaire","4.5","4.7","0.00","0","Games","Card","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Traffic Racer","4.5","4.5","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing","4.5","4.4","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Flow Free","4.5","4.3","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Catchers","4.5","4.7","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Rio","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hungry Shark Evolution","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing 2","4.5","4.6","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Swamp Attack","4.5","4.4","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Score! Hero","4.5","4.6","0.00","0","Games","Sports","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Jetpack Joyride","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Tsunami","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Farm Heroes Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"YouTube Kids","4.5","4.5","0.00","0","Entertainment","Entertainment;Music & Video","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Solitaire","4.5","4.4","0.00","0","Games","Card;Brain Games","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hot Wheels: Race Off","4.5","4.5","0.00","0","Games","Racing;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hot Wheels: Race Off","4.5","4.5","0.00","0","Games","Racing;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Plants vs. Zombies™ Heroes","4.5","4.4","0.00","0","Games","Casual;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"PAC-MAN Pop","4.5","4.3","0.00","0","Games","Puzzle;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Disney Crossy Road","4.5","4.5","0.00","0","Games","Arcade;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Inside Out Thought Bubbles","4.5","4.4","0.00","0","Games","Puzzle;Brain Games","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Frozen Free Fall","4.5","4.3","0.00","0","Games","Puzzle;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"YouTube Kids","4.5","4.5","0.00","0","Entertainment","Entertainment;Music & Video","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Frozen Free Fall","4.5","4.3","0.00","0","Games","Puzzle;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Inside Out Thought Bubbles","4.5","4.4","0.00","0","Games","Puzzle;Brain Games","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Animal Jam - Play Wild!","4.5","4.6","0.00","0","Games","Casual;Pretend Play","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Real Racing 3","4.5","4.5","0.00","0","Games","Racing;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Instagram","4.5","4.5","0.00","0","Photo & Video","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pinterest","4.5","4.6","0.00","0","Social Networking","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Instagram","4.5","4.5","0.00","0","Photo & Video","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Instagram","4.5","4.5","0.00","0","Photo & Video","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pinterest","4.5","4.6","0.00","0","Social Networking","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Wish - Shopping Made Fun","4.5","4.5","0.00","0","Shopping","Shopping","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Wish - Shopping Made Fun","4.5","4.5","0.00","0","Shopping","Shopping","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Wish - Shopping Made Fun","4.5","4.5","0.00","0","Shopping","Shopping","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Wish - Shopping Made Fun","4.5","4.5","0.00","0","Shopping","Shopping","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Photo Editor-","4.5","4.3","0.00","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Photo Editor-","4.5","4.3","0.00","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Photo Editor by Aviary","4.5","4.4","0.00","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"PicsArt Photo Studio: Collage Maker & Pic Editor","4.5","4.5","0.00","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Real Basketball","4.5","4.5","0.00","0","Games","Sports","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft Word","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft Excel","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft OneNote","4.5","4.4","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Google Docs","4.5","4.3","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Verizon Cloud","4.5","4.3","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Trello","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft Word","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Google Sheets","4.5","4.3","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft Excel","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Google Docs","4.5","4.3","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft OneNote","4.5","4.4","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft OneNote","4.5","4.4","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Yahoo Weather","4.5","4.4","0.00","0","Weather","Weather","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"The Washington Post Classic","4.5","4.5","0.00","0","News","News & Magazines","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pou","4.5","4.3","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Talking Tom","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Subway Surfers","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"WhatsApp Messenger","4.5","4.4","0.00","0","Social Networking","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Instagram","4.5","4.5","0.00","0","Photo & Video","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Talking Angela","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"YouTube Kids","4.5","4.5","0.00","0","Entertainment","Entertainment;Music & Video","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Asphalt 8: Airborne","4.5","4.5","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Rolling Sky","4.5","4.5","0.00","0","Games","Board","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Flow Free","4.5","4.3","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Microsoft Word","4.5","4.5","0.00","0","Productivity","Productivity","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Tsunami","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Bible","4.5","4.7","0.00","0","Reference","Books & Reference","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"MORTAL KOMBAT X","4.5","4.4","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hungry Shark Evolution","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hay Day","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash of Clans","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash Royale","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing","4.5","4.4","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Discord - Chat for Gamers","4.5","4.5","0.00","0","Social Networking","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hitman Sniper","4.5","4.6","0.99","$0.99 ","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Fruit Ninja®","4.5","4.3","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run 2","4.5","4.3","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Geometry Dash Meltdown","4.5","4.6","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Smash Hit","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Bad Piggies","4.5","4.3","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run","4.5","4.3","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pinterest","4.5","4.6","0.00","0","Social Networking","Social","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ClassDojo","4.5","4.4","0.00","0","Education","Education;Education","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Wish - Shopping Made Fun","4.5","4.5","0.00","0","Shopping","Shopping","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Geometry Dash World","4.5","4.6","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Sonic Dash","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Catchers","4.5","4.7","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Jetpack Joyride","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Xbox","4.5","4.3","0.00","0","Entertainment","Entertainment","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"PicsArt Photo Studio: Collage Maker & Pic Editor","4.5","4.5","0.00","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Blast","4.5","4.6","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Rio","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Star Wars","4.5","4.3","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Afterlight","4.5","4.3","0.99","0","Photo & Video","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Adobe Illustrator Draw","4.5","4.4","0.00","0","Productivity","Photography","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Animal Jam - Play Wild!","4.5","4.6","0.00","0","Games","Casual;Pretend Play","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"The Sims™ FreePlay","4.5","4.3","0.00","0","Games","Simulation","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Horse","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"WGT Golf Game by Topgolf","4.5","4.3","0.00","0","Games","Sports","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Choices: Stories You Play","4.5","4.6","0.00","0","Games","Simulation","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Plants vs. Zombies™ Heroes","4.5","4.4","0.00","0","Games","Casual;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Call of Duty®: Heroes","4.5","4.4","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
