"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"Army of Heroes",4.5,4.5,0.00,0,"Games","Strategy","12+","Everyone 10+",83815,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Photo Editor-",4.5,4.3,0.00,0,"Photo & Video","Photography","4+","Everyone",61118,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Photo Editor-",4.5,4.3,0.00,0,"Photo & Video","Photography","4+","Everyone",61119,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"GMX Mail",4.5,4.3,0.00,0,"Productivity","Communication","4+","Everyone",258454,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"The CW",4.5,4.4,0.00,0,"Entertainment","Entertainment","12+","Teen",240016,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Super Jabber Jump",4.5,4.3,0.00,0,"Games","Arcade","4+","Everyone",85278,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Smashy Road: Arena",4.5,4.3,0.00,0,"Games","Action","9+","Everyone 10+",42772,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Wishbone - Compare Anything",4.5,4.3,0.00,0,"Social Networking","Social","12+","Teen",42728,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"OK K.O.! Lakewood Plaza Turbo",4.5,4.5,0.00,0,"Games","Action;Action & Adventure","9+","Everyone 10+",76182,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Microsoft OneNote",4.5,4.4,0.00,0,"Productivity","Productivity","4+","Everyone",447044,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Verizon Cloud",4.5,4.3,0.00,0,"Productivity","Productivity","4+","Everyone",179587,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
