"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit","apple_genre","android_genre"
"STARZ","80870",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Entertainment","Entertainment"
"TED","176467",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Education","Education"
"DRAGON QUEST","9274",228,"$570,000.00","$120,000.00","$29,900.00","$29,900.00","$390,200.00","Games","Role Playing"
"Dr. Panda Hospital","908",228,"$570,000.00","$120,000.00","$29,900.00","$29,900.00","$390,200.00","Education","Education;Pretend Play"
"NBC News","52686",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","News","News & Magazines"
"NHL","59107",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Sports","Sports"
"Nick","112608",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Entertainment","Entertainment;Music & Video"
"Kids A-Z","24107",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Education","Education;Education"
"PBS KIDS Video","30897",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Education","Education;Music & Video"
"DB Navigator","119177",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Travel","Maps & Navigation"
"Citi Mobile®","66983",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Finance","Finance"
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo","64917",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Sports","Sports"
"USA TODAY","56191",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","News","News & Magazines"
"Timehop","135321",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Social Networking","Social"
"YouNow: Live Stream Video Chat","298699",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Social Networking","Social"
"Geocaching®","54156",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Navigation","Health & Fitness"
"Edmodo","193360",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Education","Education"
"DIRECTV","195946",204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00","Entertainment","Entertainment"
"Toca Builders","4401",228,"$570,000.00","$120,000.00","$29,900.00","$39,900.00","$380,200.00","Education","Education;Creativity"
"F-Sim Space Shuttle","5955",240,"$600,000.00","$120,000.00","$49,900.00","$49,900.00","$380,200.00","Games","Simulation"
"Sago Mini Babies","213",228,"$570,000.00","$120,000.00","$29,900.00","$39,900.00","$380,200.00","Education","Education;Pretend Play"
"Battleheart Legacy","6155",240,"$600,000.00","$120,000.00","$49,900.00","$49,900.00","$380,200.00","Games","Role Playing"
"Storm Shield","2287",216,"$540,000.00","$120,000.00","$29,900.00","$10,000.00","$380,100.00","Weather","Weather"
"Dr. Panda Farm","242",216,"$540,000.00","$108,000.00","$29,900.00","$29,900.00","$372,200.00","Education","Education;Pretend Play"
"Dr. Panda Supermarket","1152",216,"$540,000.00","$108,000.00","$29,900.00","$29,900.00","$372,200.00","Education","Educational;Pretend Play"
"Farming Simulator 16","30567",228,"$570,000.00","$120,000.00","$49,900.00","$29,900.00","$370,200.00","Games","Simulation;Education"
"Whataburger","4910",204,"$510,000.00","$120,000.00","$10,000.00","$10,000.00","$370,000.00","Food & Drink","Food & Drink"
"Wells Fargo Mobile","220267",204,"$510,000.00","$120,000.00","$10,000.00","$10,000.00","$370,000.00","Finance","Finance"
"The EO Bar","353",252,"$630,000.00","$132,000.00","$69,900.00","$69,900.00","$358,200.00","Health & Fitness","Health & Fitness"
"Southwest Airlines","27967",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Travel","Travel & Local"
"Redbox","96200",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Entertainment","Entertainment"
"Sky News","30169",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","News","News & Magazines"
"Thomas & Friends: Race On!","29230",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Games","Casual;Action & Adventure"
"Epson iPrint","105476",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Photo & Video","Tools"
"Mad Libs","110811",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Entertainment","Entertainment;Brain Games"
"Messenger","305502",192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00","Social Networking","Social"
"Please, Don't Touch Anything","1525",228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00","Games","Puzzle"
"Don't Starve: Pocket Edition","15534",228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00","Games","Adventure"
"LEGO® Friends","709",228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00","Games","Casual;Pretend Play"
"Paprika Recipe Manager","1550",228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00","Food & Drink","Food & Drink"
"NBA JAM by EA SPORTS™","46798",228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00","Games","Sports;Action & Adventure"
"myAT&T","96697",180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00","Utilities","Productivity"
"Fly Delta","23140",180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00","Travel","Travel & Local"
"H&M","41252",180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00","Shopping","Lifestyle"
"Assassin's Creed Identity","39549",204,"$510,000.00","$108,000.00","$49,900.00","$19,900.00","$332,200.00","Games","Action"
"LEGO Batman: DC Super Heroes","6432",216,"$540,000.00","$108,000.00","$49,900.00","$49,900.00","$332,200.00","Games","Adventure;Action & Adventure"
"RollerCoaster Tycoon® Classic","9512",228,"$570,000.00","$120,000.00","$59,900.00","$59,900.00","$330,200.00","Games","Simulation"
"Puffin Browser Pro","15116",204,"$510,000.00","$108,000.00","$39,900.00","$39,900.00","$322,200.00","Utilities","Communication"
"NFL","435543",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Sports","Sports"
"SHOWTIME","11400",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Entertainment","Entertainment"
"T-Mobile Tuesdays","50297",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Lifestyle","Lifestyle"
"Battlefield™ Companion","263221",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Social Networking","Action"
"BET NOW - Watch Shows","13958",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Entertainment","Entertainment"
"MTV","31029",180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00","Entertainment","Entertainment"
"My Movies Pro - Movie & TV Collection Library","5608",240,"$600,000.00","$120,000.00","$79,900.00","$79,900.00","$320,200.00","Catalogs","Lifestyle"
"Grand Theft Auto: San Andreas","321977",228,"$570,000.00","$120,000.00","$69,900.00","$69,900.00","$310,200.00","Games","Action"
"U by BB&T","15881",180,"$450,000.00","$120,000.00","$10,000.00","$10,000.00","$310,000.00","Finance","Finance"
"United Airlines","26524",168,"$420,000.00","$96,000.00","$10,000.00","$10,000.00","$304,000.00","Travel","Travel & Local"
"I am Bread","1156",204,"$510,000.00","$108,000.00","$49,900.00","$49,900.00","$302,200.00","Games","Adventure"
"Don't Starve: Shipwrecked","1222",204,"$510,000.00","$108,000.00","$49,900.00","$49,900.00","$302,200.00","Games","Adventure"
